Source,Target
Pollak DD,Forss-Petter S
Pollak DD,Pifl C
Pollak DD,Berger J
Huck S,Just WW
Huck S,Forss-Petter S
Huck S,Pifl C
Huck S,Berger J
Just WW,Forss-Petter S
Just WW,Pifl C
Just WW,Berger J
Forss-Petter S,Pifl C
Forss-Petter S,Berger J
Porcel-Valenzuela M,Huerta F
Porcel-Valenzuela M,Morallón E
Porcel-Valenzuela M,Montilla F
Huerta F,Morallón E
Huerta F,Montilla F
Sou K,Le DL
Sou K,Sato H
Bi XN,Qi J
Bi XN,Huang YF
Bi XN,Wei GJ
Bi XN,Zhang T
Bi XN,Wang HY
Bi XN,Wang SQ
Bi XN,Li ZH
Bi XN,Zheng W
Bi XN,Wang Q
Bi XN,Zhang YJ
Qi J,Huang YF
Qi J,Wei GJ
Qi J,Zhang T
Qi J,Wang HY
Qi J,Wang SQ
Qi J,Li ZH
Qi J,Zheng W
Qi J,Wang Q
Qi J,Zhang YJ
Huang YF,Wei GJ
Huang YF,Zhang T
Huang YF,Wang HY
Huang YF,Wang SQ
Huang YF,Li ZH
Huang YF,Zheng W
Huang YF,Wang Q
Huang YF,Zhang YJ
Wei GJ,Zhang T
Wei GJ,Wang HY
Wei GJ,Wang SQ
Wei GJ,Li ZH
Wei GJ,Zheng W
Wei GJ,Wang Q
Wei GJ,Zhang YJ
Zhang T,Wang HY
Zhang T,Wang SQ
Zhang T,Li ZH
Zhang T,Zheng W
Zhang T,Wang Q
Zhang T,Zhang YJ
Wang HY,Wang SQ
Wang HY,Li ZH
Wang HY,Zheng W
Wang HY,Wang Q
Wang HY,Zhang YJ
Wang SQ,Li ZH
Wang SQ,Zheng W
Wang SQ,Wang Q
Wang SQ,Zhang YJ
Li ZH,Zheng W
Li ZH,Wang Q
Li ZH,Zhang YJ
Zheng W,Wang Q
Zheng W,Zhang YJ
Mitchell DE,Martineau É
Mitchell DE,Tazerart S
Mitchell DE,Araya R
Martineau É,Tazerart S
Martineau É,Araya R
Wells SS,Dawod M
Wells SS,Kennedy RT
Bain KA,Milling S
Jing M,Zhang Y
Jing M,Wang H
Jing M,Li Y
Zhang Y,Wang H
Zhang Y,Li Y
Zhao XE,He Y
Zhao XE,Zhu S
Zhao XE,Xu Y
Zhao XE,You J
Zhao XE,Bai Y
Zhao XE,Liu H
He Y,Zhu S
He Y,Xu Y
He Y,You J
He Y,Bai Y
He Y,Liu H
Zhu S,Xu Y
Zhu S,You J
Zhu S,Bai Y
Zhu S,Liu H
Xu Y,You J
Xu Y,Bai Y
Xu Y,Liu H
You J,Bai Y
You J,Liu H
Olesti E,Rodríguez-Morató J
Olesti E,Gomez-Gomez A
Olesti E,Ramaekers JG
Olesti E,de la Torre R
Olesti E,Pozo OJ
Rodríguez-Morató J,Gomez-Gomez A
Rodríguez-Morató J,Ramaekers JG
Rodríguez-Morató J,de la Torre R
Rodríguez-Morató J,Pozo OJ
Gomez-Gomez A,Ramaekers JG
Gomez-Gomez A,de la Torre R
Gomez-Gomez A,Pozo OJ
Ramaekers JG,de la Torre R
Ramaekers JG,Pozo OJ
Hegazi S,Lowden C
Hegazi S,Rios Garcia J
Hegazi S,Cheng AH
Hegazi S,Obrietan K
Hegazi S,Levine JD
Hegazi S,Cheng HM
Lowden C,Rios Garcia J
Lowden C,Cheng AH
Lowden C,Obrietan K
Lowden C,Levine JD
Lowden C,Cheng HM
Rios Garcia J,Cheng AH
Rios Garcia J,Obrietan K
Rios Garcia J,Levine JD
Rios Garcia J,Cheng HM
Cheng AH,Obrietan K
Cheng AH,Levine JD
Cheng AH,Cheng HM
Obrietan K,Levine JD
Obrietan K,Cheng HM
Frederiksen SD,Haanes KA
Frederiksen SD,Warfvinge K
Frederiksen SD,Edvinsson L
Haanes KA,Warfvinge K
Haanes KA,Edvinsson L
Vander Ende E,Bourgeois MR
Vander Ende E,Henry AI
Vander Ende E,Chávez JL
Vander Ende E,Krabacher R
Vander Ende E,Schatz GC
Vander Ende E,Van Duyne RP
Bourgeois MR,Henry AI
Bourgeois MR,Chávez JL
Bourgeois MR,Krabacher R
Bourgeois MR,Schatz GC
Bourgeois MR,Van Duyne RP
Henry AI,Chávez JL
Henry AI,Krabacher R
Henry AI,Schatz GC
Henry AI,Van Duyne RP
Chávez JL,Krabacher R
Chávez JL,Schatz GC
Chávez JL,Van Duyne RP
Krabacher R,Schatz GC
