"Source","Target"
"Elmariah SB"," Lerner EA."
"Gürtner C"," Hör G."
"Logan WJ"," Swanson JM."
"Wise RA"," McDevitt RA."
"Godfrey PP"," Taghavi Z."
"Amara SG"," Arriza JL."
"Quandt J"," Sommer H."
"Duman O"," Durmaz E."
"Leonard J"," Montminy MR."
"Panzica G"," D'Este L."
"Robb S"," Evans PD."
"Boer GJ"," Swaab DF."
"Levine DS"," Leven SJ."
"Fava M"," Mischoulon D."
"Zefirov AL"," Sitdikova GF."
"Nishihara M"," Hirooka Y."
"Weiss N"," Zamponi GW."
"Chouard T"," Gray N."
"Chalmers J"," Pilowsky P."
"Sen N"," Snyder SH."
"Kirkwood A"," Lisman JE."
"Colciago A"," Magnaghi V."
"Bustos G"," Roth RH."
"Angelova C"," Balabanski L."
"Villar-Briones A"," Aird SD."
"Passlick S"," Ellis-Davies GCR."
"Relja M"," Lacković Z."
"Zucker RS"," Stockbridge N."
"Strobbe D"," Campanella M."
"Coyle JT"," van Gelder N."
"Bucher D"," Marder E."
"De Mey JG"," Vanhoutte PM."
"Khorkova O"," Golowasch J."
"Alipov NN"," Kositskiĭ GI."
"Rupniak NM"," Kramer MS."
"Connors BW"," Amitai Y."
"Verhoeven G"," De Gendt K."
"Krause HP"," Hoffmeister F."
"Gamberino WC"," Gold MS."
"Aumann Y"," Parnas H."
"Neylan TC"," van Kammen DP."
"Hermsmeier MA"," Gund TM."
"Aggarwal A"," Kaye DM."
"Lobbezoo F"," Naeije M."
"Bose R"," Bhattacharya SK."
"Fischer JE"," Baldessarini RJ."
"Wang HP"," Wu HY."
"Svec F"," Porter J."
"Little KY"," Sparks DL."
"Zhang ZH"," Zuo QH."
"Cesselin F"," Hamon M."
"Balaban CD"," Thayer JF."
"Tollefson GD"," Sanger TM."
"Zaika AP"," Gromov LA."
"Winer SA"," Rapkin AJ."
"Hinckel P"," Beckmann D."
"Chiba C"," Tazaki K."
"Gingras JL"," Weese-Mayer D."
"Hackett JT"," Ueda T."
"Alexandraki KI"," Grossman AB."
"Williams CL"," Smith SM."
"Barbour B"," Häusser M."
"Avoli M"," Krnjević K."
"Bunin MA"," Wightman RM."
"Alivisatos SG"," Arora RC."
"Kaźmierczak H"," Mierzwiński J."
"Arkhipov VI"," Azarashvili AA."
"Carpenter DO"," Hori N."
"Andrews PR"," Lloyd EJ."
"Balenzuela P"," García-Ojalvo J."
"Otsu Y"," Murphy TH."
"Nachshen DA"," Drapeau P."
"Gebert G"," Nguyen-Duong H."
"Ellis L"," Ames MA."
"Diatlov VA"," Beliaeva TV."
"Chan PH"," Fishman RA."
"Agarwala S"," Tamplin OJ."
"Anctil M"," Minh CN."
"LeFauconnier JM"," Klatzo I."
"Schacher S"," Montarolo PG."
"Jacintho JD"," Kovacic P."
"Johnston MV"," Silverstein FS."
"Millard CB"," Broomfield CA."
"Fesce R"," Meldolesi J."
"Bizzi E"," Clarac F."
